district_name,district_gis_name,active_cases,cumu_facstaff_cases,cumu_stud_cases,cumu_total
SPRINGDALE SCHOOL DIST,Springdale,29,18,89,107
FORT SMITH SCHOOL DIST,Fort Smith,23,22,114,137
BERRYVILLE SCHOOL DIST,Berryville,16,10,16,26
PULASKI COUNTY SPECIAL SCHOOL DIST,Pulaski County Special,16,9,39,48
LITTLE ROCK SCHOOL DIST,Little Rock,15,11,67,78
JONESBORO SCHOOL DIST,Jonesboro,14,11,28,39
ALMA SCHOOL DIST,Alma,12,7,13,20
DOLLARWAY SCHOOL DIST,Dollarway,12,,,16
NORTH LITTLE ROCK SCHOOL DIST,North Little Rock,11,16,27,45
CABOT SCHOOL DIST,Cabot,10,5,31,36
CEDAR RIDGE SCHOOL DIST,Cedar Ridge,10,7,9,16
HOT SPRINGS SCHOOL DIST,Hot Springs,10,,,21
FORREST CITY SCHOOL DIST,Forrest City,9,6,25,31
JACKSON CO. SCHOOL DIST,Jackson County,9,5,8,13
VAN BUREN SCHOOL DIST,Van Buren,9,7,47,54
WATSON CHAPEL SCHOOL DIST,Watson Chapel,9,12,30,43
WYNNE SCHOOL DIST,Wynne,9,9,26,35
BATESVILLE SCHOOL DIST,Batesville,8,26,25,51
BENTONVILLE SCHOOL DIST,Bentonville,8,10,37,47
GREENE COUNTY TECH SCHOOL DIST,Greene County Tech,8,10,12,22
HARRISON SCHOOL DIST,Harrison,8,,,14
PRESCOTT SCHOOL DIST,Prescott,8,,,12
VALLEY VIEW SCHOOL DIST,Valley View,8,,,24
MANILA SCHOOL DIST,Manila,7,,,13
PIGGOTT SCHOOL DIST,Piggott,7,6,9,15
ROGERS SCHOOL DIST,Rogers,7,8,46,54
VILONIA SCHOOL DIST,Vilonia,7,,,14
ARKANSAS ARTS ACADEMY,,6,,,8
FAYETTEVILLE SCHOOL DIST,Fayetteville,6,,,25
JASPER SCHOOL DIST,Jasper,6,,,12
LAKE HAMILTON SCHOOL DIST,Lake Hamilton,6,5,30,35
LAWRENCE COUNTY SCHOOL DIST,Lawrence County,6,,,11
NETTLETON SCHOOL DIST,Nettleton,6,,,29
OZARK SCHOOL DIST,Ozark,6,,,18
BROOKLAND SCHOOL DIST,Brookland,5,,,16
BRYANT SCHOOL DIST,Bryant,5,8,44,52
DARDANELLE SCHOOL DIST,Dardanelle,5,,,9
DUMAS SCHOOL DIST,Dumas,5,6,9,15
ESTEM PUBLIC CHARTER SCHOOL DIST,,5,,,13
LAVACA SCHOOL DIST,Lavaca,5,,,10
NEWPORT SCHOOL DIST,Newport,5,,,7
PINE BLUFF SCHOOL DIST,Pine Bluff,5,7,30,37
POCAHONTAS SCHOOL DIST,Pocahontas,5,,,8
SEARCY SCHOOL DIST,Searcy,5,,,12
SMACKOVER,Smackover,5,,,11
VALLEY SPRINGS SCHOOL DIST,Vallery Springs,5,0,7,7
